favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
3,Facebook,"GOVERNO NÃO VALORIZA OS MILITARES
Veja a matéria:

http://t.co/KlnLXCPJsx http://t.co/wHQorX9S4s",,False,Sun Apr 07 17:19:11 +0000 2013,11,320948884111245312
0,Twitter Web Client,PANFLETO DISTRIBUÍDO NA CÂMARA DE VEREADORES: Os opositores à manutenção d Feliciano na Comissão d Direitos Humanos. http://t.co/hyMB4hicoO,,False,Wed Apr 03 14:19:41 +0000 2013,12,319454159411757056
2,Facebook,Gostaria de conhecer o autor desta fan page. Falta postar o lançamento das bolachas Mabel para o público LGBT: A... http://t.co/xmgll7p7DV,,False,Wed Apr 10 13:00:15 +0000 2013,0,321970886330699776
2,Twitter Web Client,"Esta semana, Com. d Dir. Humanos votará requerimento q convoca Maria do Rosário p/ explicar kit-Gay 2. http://t.co/QlKRpMch0Z",,False,Mon Apr 15 19:37:34 +0000 2013,19,323882811364880385
1,Twitter Web Client,"RT @FlávioBolsonaro: Salários de profissionais da Seg. Pública continuam longe do ideal, mesmo com 10% (Vìdeo) http://bit.ly/aebfA6",,False,Wed Jun 09 19:41:28 +0000 2010,4,15797780405
0,Facebook,"Publiquei 2 fotos no Facebook no álbum """" http://t.co/xL2c80dHDL",,False,Tue Apr 02 19:59:48 +0000 2013,3,319177367039905793
1,TweetDeck,"Em 64, o povo ñ suportava + greves, desordem social e corrupção generalizada!!!",,False,Thu Apr 01 01:46:16 +0000 2010,6,11399181472
2,Twitter Web Client,"""DEMOCRACIA COMUNISTA"". PT, PCdoB, PSB, CUT e UNE fazem manifesto em defesa da Coréia do Norte. http://t.co/gqiRdgZ8Q2",,False,Mon Apr 08 14:44:22 +0000 2013,17,321272311070203905
8,Twitter Web Client,"Devido a seu currículo, Dilma deveria ter Beira-Mar como Vice.http://youtu.be/LMXhXFMBWxo",,False,Thu Jul 08 17:29:15 +0000 2010,93,18050621805
256,TweetDeck,#debate64 A Esquerda na oposição queria CPI p/ tudo. Hj CPI é palavrão. Enganaram trouxas p/ conseguir voto fácil. Otário é p/ estas coisas.,,False,Thu Apr 01 03:29:05 +0000 2010,77,11404104565
9,Twitter Web Client,ATENÇÃO PAIS: Vejam o conteúdo do kit-gay acaba d chegar nas escolas privadas p/ a criançada. http://t.co/bq53B97y,,False,Mon Jul 23 16:59:29 +0000 2012,33,227447857819574273
3,Twitter Web Client,Discurso feito hj sobre demagógica greve de fome de Domingos Dutra (PT-MA). http://youtu.be/laG57B8eJJ8,,False,Thu Jun 17 00:30:57 +0000 2010,6,16347875246
2,Twitter Web Client,"RT @NubladoVentania: Após ser agredido na CDDH por gayzistas,Bolsonaro diz: ""Voltem p o zoológico...bando d viadada"". http://t.co/cnhKhWJamJ",,False,Thu Mar 07 22:32:19 +0000 2013,7,309793663930736640
3,Twitter Web Client,Dep @FlavioBolsonaro desenvolve projeto d castração química p/ estupradores. http://t.co/WAgbRAfDwE,,False,Fri Apr 12 12:39:10 +0000 2013,17,322690352622481408
1,Facebook,http://t.co/Cc5zwEe9NK,,False,Thu Mar 28 16:57:12 +0000 2013,8,317319471083687936
2,Twitter Web Client,Aguardo a votação da PEC300. O combate à violência passa por valorização dos Servidores Públicos de Segurança.,,False,Wed May 19 23:16:57 +0000 2010,8,14322860909
